,row,timestamp,rotation,position,actual_linear_vel,actual_angular_vel,wheel_names,wheel_effort,wheel_vel,commanded_linear,commanded_angular,actual_linear_speed
0,0,0.0,[0. 0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[0. 0. 0.],0.0
0,1,0.88248,[ 2.51163511e-03 -8.02168718e-04 -6.86984189e-02  9.93640062e-01],[-0.11419265  0.08865548  0.        ],[-0.30726666 -0.00314049  0.        ],0.9251933175223104,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.],3.458651373543221
0,2,1.9940500000000005,[ 7.19805214e-08 -1.37108625e-07 -3.96041283e-01  9.13137967e-01],[-0.12909858  0.08295343  0.        ],[0.3748781  0.19741109 0.        ],0.632639811482721,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.],3.13691750279012
0,3,3.119240000000001,[-2.97086409e-09 -3.22155040e-07 -6.94301663e-01  7.09430937e-01],[-0.12882059  0.08277184  0.        ],[ 0.41169319 -0.25242764  0.        ],0.7146721502424954,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.],4.068044976973023
0,4,4.223629999999999,[-8.39611937e-08 -6.42168325e-07 -9.01131064e-01  4.29803455e-01],[-0.39370727 -0.24705053  0.        ],[-1.48423783 -0.54279607  0.        ],0.3493121877164777,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0.97 0.   0.  ],[ 0.         0.        -0.4756635],4.261382681601465
0,5,5.350110000000001,[ 5.81682819e-08 -1.15767820e-07 -9.21196787e-01  3.89096528e-01],[-1.16443352 -1.05266951  0.        ],[-0.63746193 -0.67823965  0.        ],0.007079169843619768,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[1. 0. 0.],[ 0.         0.        -0.0127652],3.01633526922282
0,6,6.583870000000001,[ 3.86243508e-08 -1.42278659e-07 -9.21623239e-01  3.88085650e-01],[-2.018865   -1.93778872  0.        ],[-0.71572945 -0.64682964  0.        ],0.008210026782142771,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[1. 0. 0.],[ 0.          0.         -0.00336434],3.0811198262007253
0,7,7.956890000000002,[-1.84220965e-07 -8.67597128e-08 -9.21664907e-01  3.87986495e-01],[-2.98241158 -2.92144986  0.        ],[-0.49421005 -0.60933396  0.        ],0.013668601363920672,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[1. 0. 0.],[0.         0.         0.00931806],3.2995151513447256
0,8,9.410689999999999,[-1.09672498e-07 -2.16332124e-07 -9.21574703e-01  3.88200701e-01],[-3.99647886 -3.95998508  0.        ],[-0.67311753 -1.21933125  0.        ],0.014317452217665028,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[1. 0. 0.],[0.         0.         0.00346533],3.5460687185019317
0,9,10.768290000000002,[ 1.76679730e-06  3.00450473e-07 -9.20114333e-01  3.91588577e-01],[-4.87732835 -4.85712006  0.        ],[-0.84407984 -0.46634567  0.        ],0.06966528514302749,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0.80152135 0.         0.        ],[0.         0.         0.02100449],3.176067951870549
